time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41
Time(s), VOLT 1 [BUS1 345.00], ANGL 1 [BUS1 345.00], VOLT 2 [BUS2 345.00], ANGL 2 [BUS2 345.00], VOLT 3 [BUS3 345.00], ANGL 3 [BUS3 345.00], VOLT 4 [BUS4 345.00], ANGL 4 [BUS4 345.00], VOLT 5 [BUS5 345.00], ANGL 5 [BUS5 345.00], VOLT 6 [BUS6 345.00], ANGL 6 [BUS6 345.00], VOLT 7 [BUS7 345.00], ANGL 7 [BUS7 345.00], VOLT 8 [BUS8 345.00], ANGL 8 [BUS8 345.00], VOLT 9 [BUS9 345.00], ANGL 9 [BUS9 345.00], FREQ 1 [BUS1 345.00], FREQ 2 [BUS2 345.00], FREQ 3 [BUS3 345.00], FREQ 5 [BUS5 345.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1, GREFGEN2, VREFGEN2, PELECGEN2, QELECGEN2, PMECHGEN2, GREFGEN3, VREFGEN3, PELECGEN3, QELECGEN3, PMECHGEN3, WPCMNDBESS5, WQCMNDBESS5, PELECBESS5, QELECBESS5
1.04999, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.26067e+07, 885.525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 3.74767e-19, -0.159817, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.6684e-07, -2.84217e-14, -3.02236e-05, 0, 0
1.1, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.32091e+07, 743.352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 8.83338e-14, -0.162433, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.66576e-07, -2.84217e-14, -3.02236e-05, 0, 0
1.15, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.38115e+07, 566.693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 5.00254e-20, -0.164276, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.66315e-07, -2.84217e-14, -3.02236e-05, -0, 0
1.2, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.44139e+07, 492.367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 1.17911e-14, -0.0170647, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.66065e-07, -2.84217e-14, -3.02236e-05, 0, 0
1.25, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.50163e+07, 551.214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 2.77921e-09, 0.0605189, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65834e-07, -2.84217e-14, -3.02236e-05, -0, 0
1.3, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.56187e+07, 640.593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 1.57393e-15, 0.0949782, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65628e-07, -2.84217e-14, -3.02236e-05, 0, -0
1.35001, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.62211e+07, 717.731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 3.7098e-10, 0.0408887, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65453e-07, -2.84217e-14, -3.02236e-05, 0, -0
1.40001, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.68235e+07, 710.534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 2.10094e-16, -0.0424803, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65312e-07, -2.84217e-14, -3.02236e-05, 0, -0
1.45001, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.74259e+07, 567.063, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 4.95198e-11, -0.187884, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65214e-07, -2.84217e-14, -3.02236e-05, -0, 0
1.50001, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.80283e+07, 352.204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 2.80442e-17, -0.198944, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65155e-07, -2.84217e-14, -3.02236e-05, 0, -0
1.55002, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.86307e+07, 137.345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 6.6101e-12, -0.198944, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65143e-07, -2.84217e-14, -3.02236e-05, 0, 0
1.60002, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.92331e+07, -77.5147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 3.74344e-18, -0.198943, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65173e-07, -2.84217e-14, -3.02236e-05, 0, -0
1.65002, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.98355e+07, -292.373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 8.82342e-13, -0.198943, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65249e-07, -2.84217e-14, -3.02236e-05, 0, 0
1.70002, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.04379e+07, -507.232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 4.99689e-19, -0.198943, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65364e-07, -2.84217e-14, -3.02236e-05, -0, 0
1.75003, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.10403e+07, -722.091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 1.17778e-13, -0.198943, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65518e-07, -2.84217e-14, -3.02236e-05, 0, -0
1.80003, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.16427e+07, -936.952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 6.67005e-20, -0.198946, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65704e-07, -2.84217e-14, -3.02236e-05, 0, 0
1.85003, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.22451e+07, -1151.81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 1.57215e-14, -0.198946, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.65919e-07, -2.84217e-14, -3.02236e-05, 0, -0
1.90003, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.28475e+07, -1366.67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 3.70561e-09, -0.198946, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.66155e-07, -2.84217e-14, -3.02236e-05, 0, 0
1.95004, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.34499e+07, -1581.54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 2.09857e-15, -0.198946, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.66404e-07, -2.84217e-14, -3.02236e-05, -0, 0
2.00004, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.40523e+07, -1785.51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 4.9464e-10, -0.153378, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.66662e-07, -2.84217e-14, -3.02236e-05, 0, 0
2.00004, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.40523e+07, -1785.51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 4.9464e-10, -0.153378, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.66662e-07, -2.84217e-14, -3.02236e-05, 0, 0
2.05003, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.46547e+07, -1985.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 2.80125e-16, -0.164025, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.66918e-07, -2.84217e-14, -3.02236e-05, 23.4073, -2.22224
2.10003, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 2.52571e+07, -2137.23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 6.60265e-11, -0.173848, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.67168e-07, -2.84217e-14, -3.02236e-05, 0, 0
