time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37
Time(s), VOLT 1 [BUS1 345.00], ANGL 1 [BUS1 345.00], VOLT 2 [BUS2 345.00], ANGL 2 [BUS2 345.00], VOLT 3 [BUS3 345.00], ANGL 3 [BUS3 345.00], VOLT 4 [BUS4 345.00], ANGL 4 [BUS4 345.00], VOLT 5 [BUS5 345.00], ANGL 5 [BUS5 345.00], VOLT 6 [BUS6 345.00], ANGL 6 [BUS6 345.00], VOLT 7 [BUS7 345.00], ANGL 7 [BUS7 345.00], VOLT 8 [BUS8 345.00], ANGL 8 [BUS8 345.00], VOLT 9 [BUS9 345.00], ANGL 9 [BUS9 345.00], FREQ 1 [BUS1 345.00], FREQ 2 [BUS2 345.00], FREQ 3 [BUS3 345.00], FREQ 5 [BUS5 345.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1, GREFGEN2, VREFGEN2, PELECGEN2, QELECGEN2, PMECHGEN2, GREFGEN3, VREFGEN3, PELECGEN3, QELECGEN3, PMECHGEN3
0.999991, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.29246e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -8.60836e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
1.04999, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.45292e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -6.87265e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
1.1, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.58719e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -5.47545e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
1.15, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.69365e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -4.35399e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
1.2, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.7713e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -3.4562e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
1.25, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.81971e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -2.73917e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
1.3, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.83909e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -2.16774e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
1.35001, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.83019e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -1.71324e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
1.40001, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.79427e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -1.35239e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
1.45001, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.73311e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -1.06636e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
