time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Time(s), VOLT 1 [BUS1 16.500], ANGL 1 [BUS1 16.500], VOLT 2 [BUS2 230.00], ANGL 2 [BUS2 230.00], VOLT 3 [BUS3 230.00], ANGL 3 [BUS3 230.00], FREQ 1 [BUS1 16.500], FREQ 2 [BUS2 230.00], FREQ 3 [BUS3 230.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1
207.655, 0.97575, -3606.34, 0.992673, -3606.48, 0.993719, -3606.58, -0.00611174, -0.00611174, -0.00611174, 0.000130229, 1.01837, 0.0402259, -0.286637, 0.0302238
207.706, 0.975762, -3612.94, 0.992686, -3613.08, 0.993732, -3613.18, -0.00611174, -0.00611174, -0.00611174, 0.000130229, 1.01837, 0.0402259, -0.286644, 0.030232
207.756, 0.975775, -3619.54, 0.992699, -3619.68, 0.993745, -3619.79, -0.00611175, -0.00611173, -0.00611174, 0.000130229, 1.01837, 0.0402259, -0.286651, 0.03024
207.806, 0.975787, -3626.14, 0.992711, -3626.28, 0.993758, -3626.39, -0.00611177, -0.00611174, -0.00611176, 0.000130229, 1.01837, 0.0402256, -0.28666, 0.030248
207.857, 0.9758, -3632.74, 0.992724, -3632.88, 0.99377, -3632.99, -0.00611168, -0.00611173, -0.00611172, 0.000130229, 1.01837, 0.0402257, -0.286667, 0.0302559
207.907, 0.975812, -3639.34, 0.992736, -3639.48, 0.993782, -3639.59, -0.00611171, -0.00611171, -0.00611169, 0.000130229, 1.01837, 0.0402258, -0.286673, 0.0302636
207.957, 0.975822, -3645.94, 0.992747, -3646.08, 0.993793, -3646.19, -0.00611174, -0.00611173, -0.00611176, 0.000130229, 1.01837, 0.0402261, -0.28668, 0.0302713
208.001, 0.97583, -3651.62, 0.992755, -3651.76, 0.993801, -3651.86, -0.00611175, -0.00611174, -0.00611178, 0.000130229, 1.01837, 0.0402261, -0.286684, 0.0302778
208.001, 0.97583, -3651.62, 0.992755, -3651.76, 0.993801, -3651.86, -0.00611175, -0.00611174, -0.00611178, 0.000130229, 1.01837, 0.0402268, -0.286684, 0.0302778
208.051, 0.975839, -3658.22, 0.992764, -3658.36, 0.993811, -3658.47, -0.00611172, -0.00611174, -0.00611171, 0.000130229, 1.01837, 0.0402262, -0.28669, 0.0302852
