time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Time(s), VOLT 1 [BUS1 16.500], ANGL 1 [BUS1 16.500], VOLT 2 [BUS2 230.00], ANGL 2 [BUS2 230.00], FREQ 1 [BUS1 16.500], FREQ 2 [BUS2 230.00], FREQ 3 [BUS3 230.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1
141.504, 1.00845, -253.406, 1.00743, -253.35, -0.0002201, -0.000220108, -0.000220084, 0.000888145, 1.11281, 0.00237448, 0.111504, 0.00197737
141.555, 1.00845, -253.644, 1.00743, -253.587, -0.000220096, -0.000220029, -0.000220084, 0.000888145, 1.11281, 0.00237462, 0.111504, 0.00197728
141.605, 1.00845, -253.881, 1.00743, -253.825, -0.000220101, -0.000220117, -0.000220084, 0.000888145, 1.11281, 0.00237463, 0.111503, 0.00197721
141.655, 1.00845, -254.119, 1.00743, -254.063, -0.000220115, -0.000220125, -0.000220084, 0.000888145, 1.11281, 0.0023745, 0.111504, 0.00197715
141.706, 1.00845, -254.357, 1.00743, -254.3, -0.000220088, -0.000220106, -0.000220084, 0.000888145, 1.11281, 0.0023745, 0.111503, 0.0019771
141.756, 1.00845, -254.594, 1.00743, -254.538, -0.000220116, -0.000220122, -0.000220084, 0.000888145, 1.11281, 0.00237457, 0.111504, 0.00197707
141.806, 1.00845, -254.832, 1.00743, -254.776, -0.000220014, -0.000220032, -0.000220084, 0.000888145, 1.11281, 0.0023745, 0.111504, 0.00197704
141.857, 1.00845, -255.07, 1.00743, -255.014, -0.000220147, -0.000220099, -0.000220084, 0.000888145, 1.11281, 0.00237453, 0.111503, 0.00197703
141.907, 1.00845, -255.308, 1.00743, -255.251, -0.000220113, -0.000220117, -0.000220084, 0.000888145, 1.11281, 0.00237413, 0.111504, 0.00197703
141.957, 1.00845, -255.546, 1.00743, -255.49, -0.000221301, -0.000221321, -0.000221349, 0.000888145, 1.11281, 0.00237447, 0.111504, 0.00197703
142.001, 1.00845, -255.752, 1.00743, -255.695, -0.000221352, -0.000221368, -0.000221349, 0.000888145, 1.11281, 0.00237448, 0.111504, 0.00197705
142.001, 1.00845, -255.752, 1.00743, -255.695, -0.000221352, -0.000221368, -0.000221349, 0.000888145, 1.11281, 0.00237448, 0.111504, 0.00197705
142.051, 1.00845, -255.991, 1.00743, -255.934, -0.000221349, -0.000221364, -0.000221349, 0.000888145, 1.11281, 0.00237435, 0.111504, 0.00197708
142.101, 1.00845, -256.23, 1.00743, -256.174, -0.000221354, -0.000221354, -0.000221349, 0.000888145, 1.11281, 0.0023745, 0.111504, 0.00197712
142.152, 1.00845, -256.469, 1.00743, -256.413, -0.000221352, -0.000221378, -0.000221349, 0.000888145, 1.11281, 0.00237444, 0.111504, 0.00197717
142.202, 1.00845, -256.708, 1.00743, -256.652, -0.00022135, -0.00022135, -0.000221349, 0.000888145, 1.11281, 0.00237464, 0.111504, 0.00197723
142.252, 1.00845, -256.947, 1.00743, -256.891, -0.000221377, -0.000221383, -0.000221349, 0.000888145, 1.11281, 0.00237444, 0.111503, 0.0019773
142.303, 1.00845, -257.186, 1.00743, -257.13, -0.000221368, -0.000221378, -0.000221349, 0.000888145, 1.11281, 0.00237444, 0.111504, 0.00197738
